Id,closnesscentrality,betweenesscentrality,Degree,eigencentrality,shellIndex
4738,0.242612,53039.425219,94,0.047672,30
3676,0.23671,41237.341466,80,0.041467,30
16972,0.258731,514972.590299,139,0.065275,30
5356,0.219129,1049.571801,31,0.014013,23
8514,0.231286,3640.54333,45,0.02654,28
14332,0.206574,17.787696,16,0.006999,16
7212,0.216851,6184.827355,18,0.008037,16
8843,0.235275,57547.015851,25,0.011854,15
1879,0.226507,7462.411749,26,0.010055,17
1377,0.234203,34939.709388,98,0.047653,30
1997,0.215389,73.074613,17,0.008377,17
7813,0.217653,696.234011,20,0.008469,17
3891,0.226452,29598.960995,50,0.018072,23
2732,0.260486,315491.408645,76,0.035652,24
4109,0.219111,802.411147,33,0.01508,23
5,0.228313,15942.335491,22,0.006319,12
8288,0.218798,5725.239929,22,0.005671,12
9206,0.203485,156.405813,9,0.002763,9
1840,0.219877,19534.894962,23,0.006723,13
17845,0.217403,2085.281927,10,0.003313,10
17411,0.214866,4076.571847,23,0.005403,12
21768,0.205726,157.985469,9,0.002892,9
15735,0.22034,32366.075383,40,0.009957,13
18468,0.218862,4634.117311,15,0.00493,11
21755,0.224306,1320.34016,21,0.010196,19
16406,0.232339,163247.711637,37,0.009553,12
14111,0.20646,2720.708099,23,0.005921,12
20510,0.250178,475267.604609,94,0.030449,23
945,0.262032,581486.011059,95,0.037858,23
20271,0.239567,20866.85364,30,0.013772,20
14862,0.271404,1762387.892988,148,0.061226,24
3726,0.265127,438065.873372,42,0.018054,19
6946,0.221012,25352.59401,20,0.006305,12
12902,0.208826,35175.570154,30,0.006771,12
4808,0.222774,9050.616657,37,0.012503,20
14241,0.201892,2411.312687,18,0.003562,11
7106,0.201624,13.495022,11,0.002836,11
18497,0.221535,2934.25336,16,0.007914,14
6,0.206745,5793.168334,16,0.00965,16
18893,0.214235,2069.343536,34,0.016518,20
1193,0.224973,66608.679912,133,0.043389,23
4000,0.222827,43586.029437,116,0.040046,23
12625,0.185139,1420.08876,27,0.006405,18
290,0.239113,473790.984627,174,0.056014,23
22261,0.245737,300448.562962,32,0.017691,20
13966,0.223177,57881.74181,83,0.03179,23
3300,0.223646,52909.293434,133,0.043296,23
22403,0.22576,75232.598966,148,0.047708,23
18782,0.21408,3294.575564,42,0.019279,20
5066,0.214628,2364.484666,35,0.016661,20
17038,0.21229,1250.473875,19,0.011021,16
3816,0.183609,2150.699908,35,0.00708,18
16052,0.231105,684162.444694,266,0.080086,23
12645,0.227933,47155.018978,63,0.026153,23
15644,0.233894,242201.870529,163,0.051312,23
7,0.186778,69.841358,3,0.000885,3
3305,0.217636,137019.788168,25,0.004404,8
12361,0.221134,168707.52374,82,0.01722,13
18601,0.223093,184472.592605,40,0.009094,13
8,0.187114,2843.454584,3,0.000644,3
13872,0.189404,49928.328826,27,0.003547,7
14205,0.218029,584463.0728,67,0.009429,8
3975,0.218693,14125.041937,11,0.003032,9
9,0.2277,0,2,0.011455,2
2773,0.263944,39218.095111,144,0.360478,46
14497,0.294336,2571965.059307,650,0.881444,46
10,0.228095,0,3,0.004779,3
14,0.248873,22312.173159,55,0.05121,21
11332,0.295474,3662582.852641,328,0.384155,41
13511,0.233221,300.905081,15,0.012437,13
11,0.204451,58.693587,4,0.000954,4
20092,0.224497,130517.188012,36,0.007682,13
8106,0.253397,246873.444321,22,0.007988,12
12130,0.205866,51789.092356,24,0.004171,10
19489,0.224143,89674.71319,46,0.011744,16
12,0.195827,68027.449673,6,0.000694,2
4683,0.193737,0,2,0.000299,2
21430,0.240277,302083.424105,12,0.007843,5
18391,0.163762,22468,2,0.000208,1
18059,0.193743,23624.023584,4,0.000494,2
6008,0.204813,10173.250036,3,0.000643,2
19356,0.16376,0,1,0.000111,1
13,0.223815,1523.234739,17,0.006532,13
22435,0.251334,30276.047862,47,0.028943,30
1744,0.210654,493.764141,21,0.007119,13
395,0.24865,99093.344617,31,0.028877,18
16399,0.229378,93968.502464,92,0.035955,26
9001,0.229194,10041.010079,41,0.016176,23
2280,0.261158,629072.951316,121,0.048173,26
6113,0.253855,154490.891381,50,0.023443,23
7235,0.210345,175.380511,15,0.005121,13
213,0.229507,3893.973617,17,0.007217,13
7431,0.223641,1953.147816,18,0.006577,13
501,0.216004,686.351341,15,0.005279,13
11971,0.221798,4816.536769,26,0.008083,13
16282,0.224661,10229.717826,15,0.005241,13
11209,0.242227,141557.490375,83,0.035756,26
1494,0.268386,696448.407209,89,0.037778,24
12762,0.22804,52070.551558,81,0.03363,26
4253,0.216937,980.992315,17,0.00721,13
2904,0.242374,2664.990602,26,0.023379,20
18062,0.263125,51621.416103,72,0.082385,28
6037,0.20834,0.141946,6,0.003109,6
3848,0.230248,37.731102,11,0.009185,10
11034,0.249517,3168.639521,27,0.02965,20
5458,0.289747,1289872.859079,333,0.611209,46
15323,0.245635,12446.359572,31,0.020201,20
18512,0.272682,433902.886341,188,0.201877,32
5822,0.242149,373.957059,19,0.019175,15
1041,0.272111,141018.338319,70,0.122182,32
14392,0.241394,91.124042,13,0.015795,13
19837,0.264263,35420.682538,44,0.059359,23
20071,0.24623,1740.164467,27,0.02167,19
10622,0.25279,8215.259787,35,0.048159,23
9946,0.247448,39052.803074,32,0.033367,20
4328,0.253844,31891.735353,47,0.041014,27
8002,0.253363,38663.972207,78,0.188023,42
4502,0.274928,152316.007031,275,0.607172,46
21323,0.26436,115136.079653,77,0.086876,29
1187,0.236265,162.860313,11,0.013304,11
8004,0.245477,1598.101629,27,0.025268,20
3695,0.243852,52677.828711,36,0.02652,17
17866,0.274223,244316.185787,116,0.159003,32
10418,0.259586,25664.564023,51,0.057547,24
14666,0.243627,2276.88393,18,0.021076,15
21157,0.24745,14621.449991,30,0.023154,19
10182,0.2496,32062.410311,37,0.036839,20
2075,0.248167,2876.968781,42,0.041387,20
14164,0.253263,33185.718631,48,0.041256,23
10109,0.237674,229.130552,18,0.012902,15
2684,0.239457,16654.946211,57,0.061802,29
17325,0.246336,583.65838,26,0.031869,20
10426,0.293084,2203073.896281,370,0.606598,46
18216,0.296386,1585970.928023,222,0.359127,43
16534,0.244157,2982.044268,37,0.029095,20
9745,0.246093,4447.957247,31,0.026364,20
1943,0.241172,245.847248,20,0.022257,17
10641,0.237092,6119.097012,17,0.011966,13
20655,0.237569,21.305709,7,0.014168,7
3128,0.232197,187.586009,19,0.012674,16
9105,0.229578,1659.72923,7,0.007497,6
5994,0.243282,1708.501226,31,0.029842,20
7301,0.201969,1.262533,3,0.001154,3
2327,0.239062,1494.092886,24,0.025848,20
11315,0.274116,593667.491434,67,0.073065,27
22020,0.241257,7904.228084,16,0.01691,15
8389,0.253578,7910.444231,51,0.136831,39
18858,0.254826,16376.181006,33,0.049457,20
5398,0.247344,1453.748561,25,0.028838,20
12017,0.256115,34552.252794,68,0.067439,27
16630,0.241745,467.49333,15,0.021946,13
15,0.177128,194.915245,3,0.000411,3
15507,0.208727,88246.110612,13,0.00318,8
353,0.18185,1062.103119,3,0.000469,3
18689,0.203011,24946.419438,15,0.003055,8
16,0.144857,0,1,0.000108,1
10134,0.169393,36994.88946,5,0.000538,3
17,0.198103,4041.716949,4,0.000514,3
1626,0.246346,698696.656451,16,0.00528,7
17433,0.200806,2394.252807,6,0.000715,3
2417,0.200785,31620.125396,8,0.000965,3
21059,0.19148,23781.431594,4,0.000594,3
18,0.244005,1763.787946,38,0.114544,30
9220,0.278582,359309.788187,290,0.583043,46
20276,0.258541,45549.282831,241,0.471042,46
11804,0.270695,181601.072835,144,0.364696,46
11323,0.26508,98760.490107,256,0.470054,46
9677,0.284587,976714.371505,103,0.232596,41
11644,0.266192,81188.343606,124,0.296854,46
3259,0.22985,0,3,0.014292,3
2224,0.244758,2133.93014,50,0.145931,38
8139,0.290624,944476.798464,387,0.668029,46
16615,0.245622,1664.040069,33,0.098784,27
961,0.271113,105380.799776,233,0.499514,46
8232,0.261883,30421.450095,131,0.318911,46
5943,0.270307,27904.886205,47,0.128844,32
17163,0.253615,33776.922456,55,0.133398,34
15174,0.278741,190579.61487,229,0.503282,46
11498,0.257926,29455.819353,121,0.288526,46
7966,0.279056,921792.055151,141,0.232633,44
20435,0.2495,20773.956388,118,0.275542,46
14597,0.241006,896.529442,30,0.093205,25
2442,0.267514,333212.425646,408,0.639848,46
16071,0.243796,1988.093685,46,0.12963,34
10611,0.242329,591.837428,24,0.059794,22
5622,0.252367,9752.869508,140,0.327894,46
1209,0.246573,1975.465031,51,0.150131,38
20938,0.240367,999.042911,29,0.059464,21
3279,0.227994,2.059906,9,0.017563,9
10468,0.256554,89836.134837,182,0.3543,46
15531,0.277388,468634.726606,298,0.547467,46
5046,0.234247,41.810466,10,0.031554,10
12842,0.251216,9936.366344,105,0.246696,45
16524,0.253098,8763.778053,91,0.241234,44
14547,0.257569,11401.618032,22,0.053785,18
16895,0.298901,3800128.256607,709,1,46
9525,0.260649,21159.521141,145,0.356882,46
17984,0.266938,67754.43269,183,0.393291,46
19,0.264463,174542.803327,13,0.008099,7
330,0.239085,33344.882586,8,0.005843,6
9184,0.211509,71.0724,2,0.000321,2
16420,0.261429,210488.129608,21,0.013354,14
1773,0.242279,47796.002627,21,0.006916,14
4048,0.221901,16446.595914,6,0.001069,5
18886,0.256253,447150.661614,114,0.044337,29
10681,0.214397,2589.206285,4,0.000698,4
701,0.324158,29227236.660823,380,0.186261,32
4064,0.274303,292142.100583,64,0.055575,23
15172,0.223135,10471.719142,6,0.001233,5
18374,0.239859,13696.304112,6,0.004609,6
11003,0.316438,22623690.434168,341,0.232702,32
20923,0.217788,96248.225018,21,0.003635,16
20,0.208484,0,1,0.000847,1
364,0.263396,2054027.170598,151,0.049538,20
7427,0.236755,11122.619195,42,0.016959,23
1901,0.270411,341510.149362,115,0.137604,32
916,0.231613,2361.520913,26,0.011463,23
7502,0.234272,7522.064176,44,0.017684,23
6219,0.232231,3314.787128,26,0.013213,22
6173,0.250798,69529.920646,53,0.041516,23
19493,0.226612,404.403893,25,0.009851,23
12609,0.23057,2618.103413,36,0.01394,23
18527,0.236663,9753.523588,44,0.016967,23
21787,0.238059,18473.283356,40,0.01729,23
4320,0.217182,49.864099,5,0.001847,5
15425,0.231472,3130.350002,36,0.013747,23
17212,0.229766,3082.533674,14,0.005754,13
6980,0.250435,45639.309186,73,0.141562,38
21809,0.216704,63.333571,16,0.005622,16
8038,0.230055,3922.96219,35,0.012965,23
8057,0.236548,5918.15499,24,0.012146,21
3342,0.243355,40411.688821,62,0.027791,29
2416,0.250039,55851.424059,54,0.046292,23
3821,0.243786,29933.595257,45,0.022617,23
15543,0.218994,447.244025,12,0.004788,12
12169,0.230229,3058.023856,36,0.013144,23
10126,0.222832,312.973212,23,0.008387,22
436,0.252887,47329.668764,33,0.03454,20
4045,0.220509,38.439946,19,0.008162,19
6686,0.245775,37661.53461,51,0.031197,23
1063,0.237981,30332.686831,34,0.01444,23
10231,0.237579,33821.252951,35,0.01466,23
17357,0.240578,18208.537567,50,0.03056,23
6696,0.23617,18794.533059,50,0.016733,23
14249,0.258958,404855.680173,65,0.047718,19
347,0.229845,2640.652081,32,0.012418,23
9905,0.262786,176472.627753,54,0.041738,23
9151,0.23141,32923.119424,31,0.013932,23
5951,0.235376,15318.393728,46,0.020339,23
13530,0.222241,797.039368,29,0.011445,23
1710,0.214573,3.030292,11,0.004312,11
15188,0.240794,3950.286917,28,0.017742,23
4246,0.208866,6.998426,12,0.004234,12
9104,0.24809,59992.379976,69,0.043106,23
9594,0.24344,35096.702077,28,0.017832,21
22,0.229084,51956.093602,28,0.00909,19
17818,0.245011,155877.631498,68,0.024477,19
4106,0.223237,20099.491381,25,0.007189,17
6540,0.241205,15251.517925,26,0.01167,19
14467,0.22591,107927.352616,40,0.010618,19
3964,0.211453,169001.975769,31,0.0048,8
10633,0.218534,1121.82344,21,0.006369,15
15690,0.234796,30747.677111,45,0.01306,19
21325,0.257722,572288.76238,104,0.061213,32
14179,0.221592,23828.006264,17,0.005939,14
15129,0.223465,64776.781292,26,0.007513,16
4670,0.247841,71782.310569,57,0.028251,19
4794,0.240642,40018.451775,28,0.012694,19
5215,0.234695,220695.971615,56,0.015996,19
7470,0.244061,33065.050409,35,0.017297,19
14027,0.235327,29015.538451,29,0.009397,19
19111,0.232171,46294.348561,53,0.015639,19
10959,0.235007,29360.285445,44,0.016273,19
11609,0.225411,20402.949261,52,0.014129,19
15868,0.211149,657.624816,11,0.003183,10
10393,0.2384,70153.360216,31,0.011469,19
897,0.24751,250345.973334,79,0.026223,19
15368,0.245861,92017.866485,49,0.022807,19
7781,0.237936,135670.191715,51,0.014545,19
11816,0.22363,3348.910461,40,0.011571,19
21221,0.2171,7700.442828,15,0.005101,14
481,0.254376,1826408.235904,97,0.0188,14
1189,0.222324,3451.503347,32,0.00989,19
11488,0.231697,87302.187106,34,0.009148,17
23,0.204314,16.84919,4,0.000764,4
7082,0.205888,546.352271,8,0.001219,5
6763,0.256384,1144765.168657,56,0.014119,11
19678,0.218727,112930.300448,21,0.002688,7
6457,0.212046,7802.007093,17,0.002291,7
24,0.215062,5755.374206,4,0.001027,4
11345,0.253517,303143.775962,21,0.006187,8
6432,0.210502,1020.48101,5,0.001786,4
21035,0.223797,17725.331587,33,0.009171,17
21955,0.267855,1932569.147128,83,0.019487,15
11196,0.204925,61.994371,2,0.001113,2
7750,0.211984,12453.976454,60,0.019582,25
7216,0.256373,210700.087959,53,0.059153,24
26,0.222551,60.22632,30,0.018893,24
18024,0.245001,3213.417928,27,0.024771,23
6290,0.253152,119784.96064,72,0.056808,24
22177,0.237689,3132.135635,32,0.030248,24
2509,0.222072,13.139932,24,0.015451,23
10544,0.251413,20471.046812,62,0.063151,24
18368,0.247816,25946.253148,52,0.039714,24
17848,0.257918,96414.273801,104,0.116587,29
13602,0.253297,28793.618716,67,0.070999,24
14409,0.24074,7296.277839,39,0.036925,24
16994,0.223958,407.810185,33,0.020669,24
19957,0.245447,6288.992778,29,0.035732,24
7139,0.225021,133.193337,19,0.013998,19
12458,0.263131,32977.840979,60,0.08859,27
17354,0.257932,30352.018747,54,0.066979,24
8734,0.235937,7314.945575,56,0.041938,24
3270,0.251081,77360.581627,62,0.046723,24
7694,0.255098,97615.246184,59,0.04785,24
8763,0.229409,1985.289529,42,0.029738,24
3798,0.234886,2343.890494,50,0.043376,24
8788,0.231339,1624.653769,45,0.034696,24
8149,0.232391,1210.698178,31,0.024202,23
18153,0.250499,21366.730634,55,0.05416,24
4948,0.264584,172415.605735,114,0.137165,32
3779,0.227629,1511.033066,20,0.01803,18
6264,0.251241,15436.063439,55,0.067852,24
18949,0.247789,7886.593718,43,0.051869,24
14768,0.230579,541.488272,33,0.026924,24
9235,0.23147,2088.124837,43,0.028341,24
18725,0.234218,2917.363846,29,0.030926,23
7460,0.258137,209409.651719,146,0.144744,32
27,0.200102,13792.933302,6,0.000888,5
5890,0.235423,344766.142186,22,0.003677,6
21247,0.192444,10575.132725,5,0.000669,4
9521,0.235843,231685.7808,20,0.003294,6
21785,0.22549,176624.421306,22,0.002932,6
3586,0.225509,111443.842981,15,0.002406,6
4857,0.208305,79343.893995,11,0.001531,5
11197,0.222882,27552.922857,4,0.001307,3
6272,0.216475,32916.169652,7,0.001649,4
17523,0.265196,1336347.422132,102,0.028537,21
1308,0.182261,0,1,0.000115,1
21662,0.270871,3006415.430056,92,0.023577,15
29,0.23704,40620.255605,15,0.003766,6
9500,0.201845,26.093484,6,0.000923,6
3443,0.204576,2597.414303,7,0.00108,6
4754,0.231274,37155.586964,14,0.005455,8
14971,0.239731,81160.18088,22,0.00538,9
20829,0.233006,25018.434779,10,0.00465,6
11158,0.290624,3312431.481182,106,0.136197,29
14840,0.25564,232454.479954,46,0.014856,14
20895,0.198171,1083.307363,6,0.000808,5
15807,0.203625,24738.955496,10,0.001448,6
17088,0.22852,105593.099103,11,0.002851,6
10972,0.266403,747636.00946,47,0.014345,14
15359,0.240241,142101.815061,18,0.004182,7
5160,0.201845,26.093484,6,0.000923,6
4941,0.200993,18948.838403,7,0.001033,6
19643,0.202269,488.459453,8,0.001157,6
30,0.233369,84724.652442,5,0.002089,3
17178,0.190154,3073.649142,2,0.000226,2
2838,0.196411,1020.171729,3,0.000368,3
17983,0.30208,5728996.601358,167,0.139227,32
8584,0.210737,144574.309982,15,0.002116,7
16854,0.22343,79980.691047,14,0.002218,6
31,0.212435,1650.496676,10,0.002829,9
12972,0.227219,226306.01468,51,0.011285,14
13716,0.198349,2753.14144,13,0.002663,10
18727,0.207583,720.507226,16,0.004589,14
21598,0.203336,3161.098534,22,0.004651,13
17090,0.214614,1427.154462,16,0.004265,12
13783,0.22369,110658.86288,31,0.007238,14
17350,0.220548,81374.499779,34,0.006854,14
12542,0.211706,302.99055,7,0.002225,7
1722,0.236088,1313137.040101,117,0.020263,14
5049,0.258973,2564098.299138,121,0.041327,17
32,0.24311,249501.668496,43,0.01331,21
1703,0.229044,5188.152979,33,0.010119,21
16417,0.228292,5796.672383,32,0.010409,21
17252,0.239312,30878.962713,53,0.016055,21
19252,0.235172,7440.522826,44,0.014077,21
19222,0.240043,32519.332901,17,0.006058,11
18703,0.22044,1228.563484,27,0.008389,19
12869,0.266214,363811.055685,53,0.028666,21
10041,0.228436,996.301654,17,0.005946,13
9839,0.226237,5268.704402,35,0.010079,21
9248,0.281626,913503.117331,50,0.04251,21
1783,0.242934,303033.325381,105,0.026368,21
4858,0.220237,8912.348028,13,0.005886,13
8531,0.239511,154646.510992,56,0.014931,21
22330,0.23394,30200.475714,64,0.017265,21
19574,0.222254,6966.218391,28,0.007279,17
7095,0.240115,69278.884066,66,0.0183,21
9986,0.253578,186860.89751,48,0.015776,21
14248,0.233296,2900.357613,30,0.009639,19
14790,0.285455,3524755.591798,103,0.036732,21
8636,0.228353,35289.013377,14,0.003356,11
7347,0.221391,1973.009322,34,0.010192,21
10757,0.210569,33002.412338,8,0.001443,6
9849,0.235147,13194.72284,31,0.010194,21
5619,0.246939,158099.548569,33,0.011553,13
20280,0.200838,252147.994599,23,0.002719,4
7041,0.237845,66431.941729,57,0.016249,21
17833,0.25443,315133.876317,94,0.030178,21
6622,0.245657,277083.747221,53,0.019191,21
19700,0.232319,5104.251613,25,0.008808,19
8766,0.215741,751.334725,9,0.003076,9
14832,0.211634,39.29545,12,0.004653,12
120,0.242643,43981.559912,22,0.011624,19
20983,0.249683,182884.719049,68,0.028739,17
2157,0.200577,128.723044,2,0.000454,2
13003,0.248123,227116.282371,74,0.020902,21
6083,0.264229,427042.57922,47,0.034622,21
4075,0.235076,24515.133794,43,0.014015,21
10496,0.228797,7996.326732,14,0.005364,13
1980,0.200283,22941.891595,10,0.002485,7
22467,0.220763,4579.669162,17,0.004461,13
19509,0.241107,245458.941304,29,0.007715,14
1024,0.233311,7266.235285,26,0.0096,21
14791,0.247764,382245.221322,81,0.022204,21
33,0.19433,0,2,0.000466,2
15191,0.234889,44403.142529,17,0.006858,7
22181,0.240153,293730.402017,36,0.012688,9
34,0.206075,42.22196,2,0.002204,2
14106,0.246709,64607.519759,54,0.042083,25
14650,0.251446,1361820.883925,326,0.089698,18
194,0.204011,2.320534,2,0.000498,2
21683,0.232991,8115.92925,15,0.004629,11
16853,0.252092,30199.73645,14,0.024308,11
36,0.21823,10227.572824,4,0.000971,4
7360,0.215838,39523.724787,10,0.001397,5
21489,0.26322,856272.16054,83,0.030232,16
18754,0.220053,1605.187204,4,0.002945,4
1293,0.23779,234565.979005,20,0.005921,9
37,0.223672,15344.559605,18,0.011516,16
13886,0.223417,57011.648459,15,0.003476,8
17363,0.189128,594.878856,6,0.000857,5
38,0.197183,14152.415866,6,0.00127,5
2124,0.198679,310245.316238,51,0.00639,8
21229,0.240645,604040.238473,44,0.008553,13
14944,0.171194,11.320404,5,0.000676,5
1381,0.205026,30921.754247,18,0.002877,8
783,0.210163,35285.637651,21,0.003342,8
39,0.230175,67251.83143,17,0.005932,8
11260,0.252064,81905.073335,41,0.039757,21
18037,0.194222,195.612919,6,0.000995,6
18217,0.215443,6754.830561,7,0.002259,5
4133,0.189166,280.312597,2,0.000287,2
11916,0.233248,86377.691071,18,0.004795,8
19387,0.202972,27800.585881,15,0.002414,7
13130,0.209951,202.622673,2,0.000512,2
14454,0.210828,363.901785,4,0.000766,4
4225,0.266992,300098.344809,122,0.213529,37
1176,0.22795,6113.026373,7,0.004609,6
10670,0.242525,340001.912219,90,0.024158,30
18234,0.224018,16109.600152,9,0.001811,7
19271,0.19434,403.103204,7,0.001099,6
3864,0.264512,54528.697911,39,0.073718,25
8977,0.233374,90778.472292,25,0.019676,14
21630,0.232437,12401.532059,14,0.011538,8
16885,0.231964,203960.133683,41,0.007121,9
40,0.181904,0.083333,5,0.001236,5
20152,0.222173,430286.458586,68,0.013666,15
12062,0.186831,1022.287821,28,0.005999,15
10581,0.213197,24212.245136,33,0.007293,15
10497,0.203608,8365.65459,40,0.008438,15
19197,0.184308,1444.376146,16,0.003307,12
41,0.217934,61240.593415,23,0.003979,9
9484,0.178943,0,2,0.000313,2
16635,0.197822,7405.791302,12,0.002031,8
14796,0.223519,17053.875884,20,0.003788,9
14772,0.206682,4893.785258,17,0.003551,10
6095,0.217354,85302.251074,13,0.001889,5
1200,0.202866,16632.230515,14,0.002678,9
19010,0.183973,0,3,0.00055,3
4882,0.226454,43906.420612,18,0.003653,10
19667,0.229615,181526.820857,54,0.009741,12
922,0.20827,37588.928113,10,0.001717,7
13584,0.21846,19128.403534,13,0.00262,8
5097,0.2161,46023.324034,34,0.005971,11
21163,0.217401,23740.037465,16,0.002947,8
10621,0.228024,92806.384936,17,0.003337,9
18515,0.249517,141219.05182,16,0.005256,8
5739,0.210544,48072.623383,5,0.001299,3
8669,0.243788,835819.702106,93,0.019309,12
12067,0.204611,9620.359492,10,0.0019,7
19458,0.229444,73669.841763,25,0.005328,12
15413,0.197493,0,3,0.000877,3
11815,0.214029,4642.688058,13,0.002369,8
19307,0.235194,217265.382913,35,0.006273,10
45,0.240241,100352.977969,13,0.00312,8
42,0.219939,5413.204543,6,0.002057,5
13992,0.225749,49150.671289,20,0.003256,9
18030,0.219184,2226.880527,5,0.001272,5
16727,0.243786,71978.76503,19,0.013365,9
14804,0.23288,257408.251619,74,0.02113,30
909,0.273126,2968134.371273,141,0.061458,21
8050,0.227495,105460.533348,18,0.003925,8
43,0.219028,259.342198,13,0.011421,10
4163,0.211896,20.922057,8,0.005337,8
4518,0.258529,65023.644603,108,0.227288,41
10503,0.26255,279320.498935,125,0.132124,32
10997,0.245896,6806.144467,8,0.0241,7
2422,0.257728,154857.855356,116,0.189711,41
1273,0.219357,4152.452882,29,0.015491,15
13418,0.249229,66628.228771,82,0.094455,25
19101,0.247726,12738.577155,35,0.072192,19
14109,0.256402,156411.707143,97,0.119799,28
1750,0.237901,8681.320054,42,0.043666,17
188,0.220243,193.361148,11,0.009871,10
21626,0.243738,24855.054881,30,0.03186,17
13415,0.241873,3172.731236,33,0.112113,30
44,0.218021,14.235997,59,0.035319,56
3103,0.218676,9054.537196,76,0.040251,56
4751,0.237225,226686.323587,90,0.045471,56
4401,0.221684,3606.631447,60,0.035734,56
9813,0.220101,7116.456182,61,0.035176,56
2532,0.21955,4593.167964,64,0.036543,56
